scenario_id,market,category,good_count,partial_count,weak_count,fallback_count,all3_good,zero_good,all3_fallback,q1_quality,q1_score,q1_fallback,q1_guess_phrase_or_equiv,q1_actual_action,q1_english_question,q2_quality,q2_score,q2_fallback,q2_guess_phrase_or_equiv,q2_actual_action,q2_english_question,q3_quality,q3_score,q3_fallback,q3_guess_phrase_or_equiv,q3_actual_action,q3_english_question
q3_id_conv_028,indonesia,human_escalation,1,0,2,1,False,False,False,good,0.75,False,False,escalate_to_human,"My penalty is wrong. I want to speak with an officer, not a bot.",weak,0.333,False,False,explain_penalty_or_due_date,"I paid before 10 PM, but the next day I still got a penalty.",weak,0.48,True,True,localized_fallback,Please speed it up.
q3_id_conv_029,indonesia,human_escalation,0,0,3,2,False,True,False,weak,0.25,False,False,handle_installment_reminder,I cannot afford this month's installment. Can it be restructured?,weak,0.438,True,True,localized_fallback,My business income has dropped since last month.,weak,0.355,True,True,localized_fallback,"If it has not been approved yet, what happens to this month's bill?"
q3_id_conv_030,indonesia,human_escalation,1,0,2,1,False,False,False,weak,0.45,False,False,explain_penalty_or_due_date,Someone called claiming to be from the finance company and asked for an OTP to remove a penalty. Is that real?,weak,0.355,True,True,localized_fallback,They know my name and part of my contract number.,good,0.75,False,False,escalate_to_human,Please connect me to a human.
q3_id_conv_031,indonesia,regional_accent,2,0,1,0,False,False,False,good,0.917,False,False,handle_installment_reminder,"Yes sir, I will pay this week, but I do not have the funds yet. Can I be given some time first?",weak,0.45,False,False,explain_penalty_or_due_date,"If I am only one day late, will I immediately get a penalty?",good,0.833,False,False,handle_installment_reminder,"Yes, which official payment channel should I use?"
q3_id_conv_032,indonesia,regional_accent,0,3,0,2,False,True,False,partial,0.6,True,True,localized_fallback,"I want to apply for a loan, but my income is uncertain. What should I do?",partial,0.683,True,True,localized_fallback,"I do freelance design, and the amount is different every month.",partial,0.683,False,False,handle_finance_qualification,"If documents are missing, will it definitely be rejected?"
q3_id_conv_033,indonesia,regional_accent,1,2,0,3,False,False,True,good,0.85,True,True,localized_fallback,"I want to borrow money, but I am afraid the admin fee will be high. How much will the installment be?",partial,0.683,True,True,localized_fallback,"For example, 15 million rupiah, and not more than 1.5 million per month.",partial,0.683,True,True,localized_fallback,"If the result is expensive, I will skip it."
q3_id_conv_034,indonesia,regional_accent,1,1,1,0,False,False,False,partial,0.683,False,False,handle_installment_reminder,"I can only pay after my sales money comes in, maybe at the end of the week. Can you wait?",weak,0.3,False,False,explain_penalty_or_due_date,"If I inform you now, will it avoid being marked late?",good,0.85,False,False,handle_installment_reminder,Then record that I will pay on Saturday.
q3_id_conv_035,indonesia,regional_accent,0,2,1,2,False,True,False,partial,0.6,True,True,localized_fallback,I have a small business and want to borrow to add stock. What documents are needed?,partial,0.6,True,True,localized_fallback,"Turnover goes up and down, and it is sometimes busy on weekends.",weak,0.3,False,False,explain_penalty_or_due_date,What if I am late paying because the stock has not sold yet?
q3_id_conv_039,indonesia,compliance_sensitive_fallback,3,0,0,3,True,False,True,good,0.75,True,True,localized_fallback,My credit history is bad. Is there a way to still get approved?,good,0.833,True,True,localized_fallback,Can I use a friend's salary slip?,good,0.75,True,True,localized_fallback,Then what can I do?
q3_id_conv_040,indonesia,compliance_sensitive_fallback,3,0,0,3,True,False,True,good,0.75,True,True,localized_fallback,"What percentage is the interest? Do not let it change later, or I will complain.",good,0.833,True,True,localized_fallback,"If this chat says it is low, I will hold you to it.",good,0.833,True,True,localized_fallback,"Okay, what should I ask for?"
q3_id_conv_061,indonesia,cooperative_customer,2,1,0,2,False,False,False,good,0.782,True,True,localized_fallback,I want a loan for home renovation. What needs to be checked first?,good,0.75,False,False,handle_finance_qualification,"Around 25 million rupiah, with an 18-month tenor.",partial,0.615,True,True,localized_fallback,"Permanent salary, around 8 million rupiah."
q3_id_conv_062,indonesia,cooperative_customer,2,1,0,3,False,False,True,good,0.865,True,True,localized_fallback,I want to pay for a work laptop in installments. Can you help check?,partial,0.615,True,True,localized_fallback,"Around 12 million rupiah, and I want 12 months.",good,0.782,True,True,localized_fallback,"If there is an admin fee, I want to know first."
q3_id_conv_063,indonesia,cooperative_customer,1,2,0,2,False,False,False,good,0.75,False,False,handle_finance_qualification,"Before applying, what documents are usually needed?",partial,0.615,True,True,localized_fallback,Permanent employee.,partial,0.615,True,True,localized_fallback,"If there is no salary slip, is a bank statement enough?"
q3_id_conv_064,indonesia,payment_or_renewal_difficulty,2,1,0,1,False,False,False,good,0.917,False,False,handle_installment_reminder,"The due date is today, but I can only pay tomorrow morning. Is it still safe?",partial,0.555,True,True,localized_fallback,What if I transfer tonight but it posts tomorrow?,good,0.75,False,False,handle_installment_reminder,"Okay, I will pay through virtual account."
q3_id_conv_065,indonesia,payment_or_renewal_difficulty,2,1,0,1,False,False,False,good,0.917,False,False,handle_installment_reminder,"My stock has not sold yet, so I can only pay the installment at the end of the week.",partial,0.555,True,True,localized_fallback,I am a long-time customer. Can I not get some tolerance?,good,0.833,False,False,handle_installment_reminder,Just record that I will pay on Saturday.
q3_id_conv_066,indonesia,payment_or_renewal_difficulty,1,2,0,2,False,False,False,good,0.833,False,False,handle_installment_reminder,"If I promise to pay on Friday, will the collection calls stop?",partial,0.555,True,True,localized_fallback,I feel disturbed if I keep getting calls.,partial,0.555,True,True,localized_fallback,"Evening only, after 5 PM."
q3_id_conv_067,indonesia,sector_specific_objection,0,3,0,3,False,True,True,partial,0.615,True,True,localized_fallback,I am a teacher. I have a monthly salary and allowances that do not come every month. Can that be counted for a loan?,partial,0.615,True,True,localized_fallback,"Honorary teacher, already 4 years.",partial,0.698,True,True,localized_fallback,"If my income is small, can I just take a small loan?"
q3_id_conv_068,indonesia,sector_specific_objection,0,2,1,2,False,True,False,partial,0.698,True,True,localized_fallback,"I am a farmer, and my big income usually comes after harvest. Is a monthly loan suitable?",partial,0.615,True,True,localized_fallback,Usually once every 3 to 4 months.,weak,0.45,False,False,explain_penalty_or_due_date,What if I am late because the harvest is delayed?
q3_id_conv_069,indonesia,sector_specific_objection,0,3,0,3,False,True,True,partial,0.615,True,True,localized_fallback,I sell food online. Can I borrow money for raw materials?,partial,0.698,True,True,localized_fallback,"Orders are decent, but the margin is not big.",partial,0.615,True,True,localized_fallback,So I should borrow a small amount first?
q3_id_conv_070,indonesia,mixed_english_finance_terms,1,2,0,2,False,False,False,partial,0.615,True,True,localized_fallback,My credit score is decent. Can I immediately get a high limit?,good,0.833,False,False,handle_installment_reminder,"Income is 10 million rupiah, and other installments are 2 million.",partial,0.615,True,True,localized_fallback,I want fast approval.
q3_id_conv_071,indonesia,mixed_english_finance_terms,1,2,0,2,False,False,False,partial,0.615,True,True,localized_fallback,What is the difference between flat rate and effective rate?,good,0.917,False,False,handle_installment_reminder,So the important thing is the total amount paid?,partial,0.698,True,True,localized_fallback,What if the salesperson only says the rate is low?
q3_id_conv_072,indonesia,mixed_english_finance_terms,0,3,0,3,False,True,True,partial,0.615,True,True,localized_fallback,The simulation includes an insurance fee. Is it mandatory or optional?,partial,0.615,True,True,localized_fallback,"If it is optional, can I reject it?",partial,0.615,True,True,localized_fallback,What is the benefit if it is included?
q3_id_conv_073,indonesia,colloquial_speech,2,1,0,2,False,False,False,good,0.782,True,True,localized_fallback,Can I borrow for a vacation? I feel like I need a break.,good,0.917,False,False,handle_installment_reminder,"Yes, from salary, but I also have a motorcycle installment.",partial,0.615,True,True,localized_fallback,"If it is heavy, I will just cancel."
q3_id_conv_074,indonesia,colloquial_speech,0,3,0,3,False,True,True,partial,0.615,True,True,localized_fallback,The verification is very troublesome. Why do you need so much data?,partial,0.615,True,True,localized_fallback,Can I skip some parts?,partial,0.615,True,True,localized_fallback,"Okay, give me the checklist first."
q3_id_conv_075,indonesia,colloquial_speech,1,2,0,3,False,False,True,partial,0.615,True,True,localized_fallback,"If a large limit is approved, should I just take the maximum?",good,0.782,True,True,localized_fallback,But it feels like a waste if I do not use the limit.,partial,0.698,True,True,localized_fallback,"Okay, so only according to what I need."
q3_id_conv_076,indonesia,human_escalation,1,0,2,2,False,False,False,good,0.75,False,False,escalate_to_human,I want early settlement. Can I speak with an officer for the official calculation?,weak,0.355,True,True,localized_fallback,I need the number today.,weak,0.355,True,True,localized_fallback,"Okay, do not estimate it from the bot."
q3_id_conv_077,indonesia,human_escalation,1,0,2,1,False,False,False,weak,0.333,False,False,handle_finance_qualification,There is an application under my name even though I never applied. I want to report it.,weak,0.355,True,True,localized_fallback,I only received a verification SMS.,good,0.75,False,False,escalate_to_human,Connect me to a human now.
q3_id_conv_078,indonesia,compliance_sensitive_fallback,3,0,0,2,True,False,False,good,0.75,True,True,localized_fallback,Can the loan funds be disbursed to my sibling's bank account?,good,0.75,True,True,localized_fallback,My bank account is having a problem.,good,0.75,False,False,escalate_to_human,So I should ask an officer first?
q3_id_conv_079,indonesia,compliance_sensitive_fallback,2,0,1,2,False,False,False,good,0.75,True,True,localized_fallback,I lost my job. What happens if I just ignore the bill for now?,good,0.75,True,True,localized_fallback,I really do not have any income yet.,weak,0.333,False,False,explain_penalty_or_due_date,Please do not say that I am intentionally late.
q3_id_conv_080,indonesia,compliance_sensitive_fallback,3,0,0,3,True,False,True,good,0.833,True,True,localized_fallback,"Can I write business as the loan purpose, but use the money for an activity that is not allowed?",good,0.75,True,True,localized_fallback,"If I do not write the details, they will not know, right?",good,0.75,True,True,localized_fallback,"If it is for a legal business, what should I prepare?"
q3_ph_conv_001,philippines,cooperative_customer,1,2,0,2,False,False,False,good,0.917,False,False,qualify_life_insurance_lead,"Hi, I have a bank referral. I am interested in coverage for my family. What are the options?",partial,0.615,True,True,localized_fallback,Mostly income protection. I have a wife and two kids.,partial,0.698,True,True,localized_fallback,"Maybe a 3,000 pesos monthly budget. I do not have existing insurance."
q3_ph_conv_002,philippines,cooperative_customer,1,2,0,2,False,False,False,good,0.75,False,False,qualify_life_insurance_lead,I want to add a beneficiary to my life insurance. How do I do that?,partial,0.615,True,True,localized_fallback,Can I just give my child's name here?,partial,0.698,True,True,localized_fallback,"Okay, I just want to know whether there is a fee for this."
q3_ph_conv_003,philippines,cooperative_customer,0,3,0,3,False,True,True,partial,0.698,True,True,localized_fallback,"Which is better, term insurance or insurance with an investment component?",partial,0.615,True,True,localized_fallback,"I want protection, but I also want to get something in the future.",partial,0.615,True,True,localized_fallback,"Around 4,000 pesos monthly, but I do not want too much risk."
q3_ph_conv_006,philippines,payment_or_renewal_difficulty,0,3,0,3,False,True,True,partial,0.74,True,True,localized_fallback,"I will pay this week, please do not cancel it yet. I am just short on money right now.",partial,0.615,True,True,localized_fallback,But I am sure I will pay this Friday. Can you mark it as paid already?,partial,0.698,True,True,localized_fallback,What happens if I am late by two days?
q3_ph_conv_007,philippines,payment_or_renewal_difficulty,1,1,1,1,False,False,False,good,0.917,False,False,handle_renewal_or_premium,Can I stop paying the premium for two months?,weak,0.333,False,False,qualify_life_insurance_lead,I do not want to lose the coverage because I have a child.,partial,0.698,True,True,localized_fallback,"Okay, but first tell me whether there is a penalty."
q3_ph_conv_008,philippines,payment_or_renewal_difficulty,0,2,1,2,False,True,False,weak,0.25,False,False,escalate_to_human,Can I pay to the agent's personal GCash account so it is faster?,partial,0.615,True,True,localized_fallback,The agent said they will post the payment for me.,partial,0.698,True,True,localized_fallback,What should I check before paying?
q3_ph_conv_011,philippines,sector_specific_objection,0,3,0,3,False,True,True,partial,0.615,True,True,localized_fallback,I am an overseas Filipino worker in the Middle East. Am I still covered if I get life insurance?,partial,0.615,True,True,localized_fallback,"I am a construction supervisor, mostly doing site visits.",partial,0.615,True,True,localized_fallback,"I do not have any illness, but sometimes I work at heights."
q3_ph_conv_012,philippines,sector_specific_objection,0,3,0,2,False,True,False,partial,0.615,True,True,localized_fallback,I need to keep money circulating in my business more than I need insurance.,partial,0.698,True,True,localized_fallback,"Yes, I am the main income earner, but my budget is small.",partial,0.533,False,False,handle_renewal_or_premium,So I do not need a large premium?
q3_ph_conv_013,philippines,sector_specific_objection,0,3,0,2,False,True,False,partial,0.615,True,True,localized_fallback,I have hypertension. Will life insurance reject me automatically?,partial,0.533,False,False,handle_renewal_or_premium,What if I just do not mention it so the premium is lower?,partial,0.615,True,True,localized_fallback,Okay. What documents might they ask for?
q3_ph_conv_016,philippines,mixed_english_finance_terms,2,0,1,0,False,False,False,good,0.833,False,False,qualify_life_insurance_lead,Is there a rider for critical illness? And how much does the premium usually increase?,good,0.833,False,False,qualify_life_insurance_lead,Critical illness is important because my family has a history of cancer.,weak,0.45,False,False,escalate_to_human,What questions should I ask the advisor?
q3_ph_conv_017,philippines,mixed_english_finance_terms,1,2,0,3,False,False,True,partial,0.615,True,True,localized_fallback,Is the sum assured the same as cash value? I am confused.,partial,0.615,True,True,localized_fallback,"So if the sum assured is 1 million, can I get 1 million anytime?",good,0.782,True,True,localized_fallback,"Okay, so I should think about protection first?"
q3_ph_conv_018,philippines,mixed_english_finance_terms,1,2,0,2,False,False,False,partial,0.615,True,True,localized_fallback,"Can you explain underwriting, exclusions, and claims in simple terms?",good,0.75,False,False,qualify_life_insurance_lead,"So if I die, my family surely gets paid?",partial,0.615,True,True,localized_fallback,What should I check before signing?
q3_ph_conv_021,philippines,colloquial_speech,0,3,0,3,False,True,True,partial,0.615,True,True,localized_fallback,Is insurance really worth it? It feels like just a monthly expense.,partial,0.615,True,True,localized_fallback,"We have a baby, and we also have a housing loan.",partial,0.698,True,True,localized_fallback,I just do not want to be tricked into a plan I cannot afford.
q3_ph_conv_022,philippines,colloquial_speech,1,2,0,3,False,False,True,partial,0.698,True,True,localized_fallback,"I can cancel anytime, right? I just want to try it first.",partial,0.698,True,True,localized_fallback,So I lose money if I cancel early?,good,0.782,True,True,localized_fallback,Then maybe I should just start small.
q3_ph_conv_023,philippines,colloquial_speech,1,2,0,2,False,False,False,partial,0.698,True,True,localized_fallback,I feel like I cannot afford it monthly. It might just get cut off.,partial,0.615,True,True,localized_fallback,"Maybe only around 1,000 pesos.",good,0.75,False,False,qualify_life_insurance_lead,Can I still have a beneficiary?
q3_ph_conv_026,philippines,human_escalation,1,2,0,2,False,False,False,good,0.75,False,False,escalate_to_human,Our claim is taking too long. The requirements keep repeating. I want to talk to a person instead.,partial,0.555,True,True,localized_fallback,"It is a death claim, submitted last month, and they are asking again for the death certificate.",partial,0.555,True,True,localized_fallback,Please make it urgent.
q3_ph_conv_027,philippines,human_escalation,0,3,0,3,False,True,True,partial,0.638,True,True,localized_fallback,Can you already give me an exact quotation?,partial,0.555,True,True,localized_fallback,"Okay, what is my summary?",partial,0.68,True,True,localized_fallback,Connect me then.
q3_ph_conv_036,philippines,compliance_sensitive_fallback,2,0,1,2,False,False,False,weak,0.25,False,False,qualify_life_insurance_lead,Can you guarantee that my family will be paid if something happens?,good,0.917,True,True,localized_fallback,Then how can I trust it?,good,0.833,True,True,localized_fallback,"Okay, send me an exclusions checklist."
q3_ph_conv_037,philippines,compliance_sensitive_fallback,1,0,2,0,False,False,False,weak,0.333,False,False,qualify_life_insurance_lead,Can I name my partner as beneficiary even if we are not married? Is that legally safe?,weak,0.25,False,False,schedule_callback,I just do not want disputes later.,good,0.875,False,False,escalate_to_human,So the final answer should come from an advisor?
q3_ph_conv_038,philippines,compliance_sensitive_fallback,2,0,1,2,False,False,False,good,0.833,True,True,localized_fallback,I smoke only occasionally. Do I still need to say it?,weak,0.333,False,False,handle_renewal_or_premium,My premium might increase.,good,0.75,True,True,localized_fallback,"Okay, how should I say it?"
q3_ph_conv_041,philippines,cooperative_customer,1,2,0,3,False,False,True,partial,0.615,True,True,localized_fallback,I am newly married and I want to start life insurance.,good,0.782,True,True,localized_fallback,Income protection first for my wife. We do not have children yet.,partial,0.698,True,True,localized_fallback,"Around 2,000 to 3,000 pesos monthly."
q3_ph_conv_042,philippines,cooperative_customer,1,2,0,2,False,False,False,good,0.75,False,False,qualify_life_insurance_lead,The bank referred me for life insurance. What is the process if I want to proceed?,partial,0.698,True,True,localized_fallback,"Okay, what do you need from me now?",partial,0.698,True,True,localized_fallback,I want to protect my parents and maybe add critical illness.
q3_ph_conv_043,philippines,payment_or_renewal_difficulty,1,2,0,3,False,False,True,partial,0.698,True,True,localized_fallback,I can only pay half this month. Is that enough for the policy to stay active?,good,0.782,True,True,localized_fallback,So is it useless if I only pay half?,partial,0.698,True,True,localized_fallback,Can you connect me to servicing then?
q3_ph_conv_044,philippines,payment_or_renewal_difficulty,1,2,0,2,False,False,False,good,0.75,False,False,handle_renewal_or_premium,I did not notice the renewal notice. They said it is lapsed. Can it still be restored?,partial,0.615,True,True,localized_fallback,Do I need to go through medical checks again?,partial,0.698,True,True,localized_fallback,I want to continue it because it is for my child.
q3_ph_conv_045,philippines,sector_specific_objection,0,3,0,3,False,True,True,partial,0.615,True,True,localized_fallback,I am a seafarer. I am usually onboard for 8 months. Can I get life insurance?,partial,0.615,True,True,localized_fallback,"I am engine crew, sometimes in heavy equipment areas.",partial,0.615,True,True,localized_fallback,We have a pre-employment medical exam before boarding.
q3_ph_conv_046,philippines,sector_specific_objection,0,3,0,2,False,True,False,partial,0.698,True,True,localized_fallback,I work BPO night shift. Does that affect life insurance?,partial,0.533,False,False,handle_renewal_or_premium,Just basic coverage first. I do not want a high premium.,partial,0.615,True,True,localized_fallback,"I can only afford around 1,500 pesos monthly."
q3_ph_conv_047,philippines,mixed_english_finance_terms,2,1,0,2,False,False,False,good,0.833,False,False,handle_renewal_or_premium,"What is the difference between grace period, lapse, and reinstatement?",good,0.782,True,True,localized_fallback,How many days is the grace period usually?,partial,0.615,True,True,localized_fallback,"If it is already lapsed, do I start from zero?"
q3_ph_conv_048,philippines,mixed_english_finance_terms,0,3,0,3,False,True,True,partial,0.615,True,True,localized_fallback,What is the ROI of this insurance? Is it higher than a mutual fund?,partial,0.615,True,True,localized_fallback,So it is not the best for investment?,partial,0.615,True,True,localized_fallback,"Then I want protection first, not investment."
q3_ph_conv_049,philippines,colloquial_speech,0,3,0,3,False,True,True,partial,0.615,True,True,localized_fallback,I hear many agents only do sales talk. How do I know if it is legitimate?,partial,0.615,True,True,localized_fallback,What if they pressure me to sign today?,partial,0.698,True,True,localized_fallback,Nice. Send me questions to ask.
q3_ph_conv_050,philippines,colloquial_speech,0,3,0,3,False,True,True,partial,0.698,True,True,localized_fallback,I feel like I am too young for insurance. I am only 25.,partial,0.615,True,True,localized_fallback,"I do not have dependents yet, but I am the breadwinner for my parents.",partial,0.615,True,True,localized_fallback,"Okay, just basic coverage first."
q3_ph_conv_051,philippines,human_escalation,2,1,0,1,False,False,False,good,0.833,False,False,escalate_to_human,I think the agent misled me. I want to complain.,partial,0.555,True,True,localized_fallback,"They said the fund value was guaranteed, but the document does not say that.",good,0.75,False,False,escalate_to_human,I want a human to call me.
q3_ph_conv_052,philippines,human_escalation,0,3,0,3,False,True,True,partial,0.638,True,True,localized_fallback,I want to cancel my policy. Can I speak to a person?,partial,0.638,True,True,localized_fallback,I just cannot afford it anymore.,partial,0.555,True,True,localized_fallback,"Okay, but no sales call please."
q3_ph_conv_053,philippines,human_escalation,1,2,0,2,False,False,False,good,0.75,False,False,escalate_to_human,There is a dispute about the beneficiary for a death claim. I need a person.,partial,0.638,True,True,localized_fallback,"I am the child, but they say the partner is listed.",partial,0.555,True,True,localized_fallback,Can you tell me who should get the money?
q3_ph_conv_054,philippines,compliance_sensitive_fallback,3,0,0,2,True,False,False,good,0.75,True,True,localized_fallback,Can you say it has a guaranteed 10 percent return so I can be sure?,good,0.833,False,False,escalate_to_human,But the agent said it will really earn money.,good,0.917,True,True,localized_fallback,So what should I trust?
q3_ph_conv_055,philippines,compliance_sensitive_fallback,3,0,0,3,True,False,True,good,0.833,True,True,localized_fallback,You answer the health questions for me so it is faster.,good,0.833,True,True,localized_fallback,I do not understand some of them. What should I do?,good,0.833,True,True,localized_fallback,"Okay, just explain what a pre-existing condition means."
q3_ph_conv_056,philippines,regional_accent,3,0,0,2,True,False,False,good,0.833,False,False,handle_renewal_or_premium,"I want to get insurance, but I might not be able to afford the monthly payment.",good,0.75,True,True,localized_fallback,Maybe just one thousand pesos for now.,good,0.833,True,True,localized_fallback,I just do not want to be embarrassed if I cannot continue it.
q3_ph_conv_057,philippines,regional_accent,2,1,0,2,False,False,False,good,0.75,True,True,localized_fallback,"I want insurance for my family, but I do not know where to start.",good,0.75,True,True,localized_fallback,My spouse and two children. I am the only one working.,partial,0.533,False,False,handle_sector_objection,Just do not make it too expensive.
q3_ph_conv_058,philippines,regional_accent,3,0,0,0,True,False,False,good,0.75,False,False,qualify_life_insurance_lead,Is there a rider for illness? I want protection if I get sick.,good,0.833,False,False,qualify_life_insurance_lead,Maybe critical illness. We have family history.,good,0.833,False,False,handle_renewal_or_premium,Will the premium immediately become high?
q3_ph_conv_059,philippines,regional_accent,3,0,0,3,True,False,True,good,0.75,True,True,localized_fallback,"I paid late, and I do not know whether the policy is still active.",good,0.75,True,True,localized_fallback,I do have a receipt.,good,0.75,True,True,localized_fallback,"Okay, I will just have it checked."
q3_ph_conv_060,philippines,regional_accent,3,0,0,3,True,False,True,good,0.833,True,True,localized_fallback,What papers are needed if the family makes a claim?,good,0.75,True,True,localized_fallback,Can I send everything here to be sure?,good,0.917,True,True,localized_fallback,"Okay, I just want my spouse to know the process."
