scenario_id,market,category,exchange,quality,overall_score,english_customer_question,expected_bot_answer_english,actual_bot_answer_localized,actual_bot_answer_english,original_customer_text,expected_localized_reply,actual_action,actual_register
q3_id_conv_004,indonesia,cooperative_customer,2,partial,0.698,I am a permanent employee with a monthly salary.,"Expected answer should collect amount and tenor. Reason: Explains next qualification step and sets approval boundary. Key terms: penghasilan bulanan, tenor, persetujuan.","Maaf, saya tidak ingin memberi informasi yang tidak pasti. Saya bisa bantu soal cicilan, tenor, denda, DP, jatuh tempo, angsuran, atau pembiayaan. Apakah Bapak/Ibu ingin saya lanjutkan?","Sorry, I do not want to give uncertain information. I can help with installments, tenor, penalties, down payment, due date, monthly payments, or financing. Would you like me to continue?",Saya karyawan tetap dengan gaji bulanan.,"Terima kasih. Untuk karyawan tetap, biasanya dibutuhkan estimasi penghasilan bulanan, lama bekerja, jumlah pinjaman yang diinginkan, dan pilihan tenor. Saya tidak bisa menjamin persetujuan, tetapi bisa bantu cek kecocokan awal. Kisaran pinjaman yang Bapak/Ibu butuhkan berapa?",localized_fallback,formal_id
q3_id_conv_004,indonesia,cooperative_customer,3,good,0.833,"Around 20 million rupiah, with a 12-month tenor.","Expected answer should offer installment simulation. Reason: Keeps the answer useful and grounded in process. Key terms: simulasi resmi, kemampuan bayar, verifikasi dokumen.","Untuk pengajuan pembiayaan, biasanya perlu informasi DP, tenor yang diinginkan, data kendaraan atau barang, dan dokumen identitas. Apakah Bapak/Ibu ingin saya lanjutkan?","For a financing application, information is usually needed about the down payment, desired tenor, vehicle or item details, and identity documents. Would you like me to continue?","Sekitar 20 juta, tenor 12 bulan.","Baik, 20 juta dengan tenor 12 bulan. Langkah berikutnya adalah memperkirakan cicilan per bulan dan memastikan cicilan masih sesuai kemampuan bayar. Nanti simulasi resmi tetap mengikuti kebijakan penyedia dan hasil verifikasi dokumen.",handle_finance_qualification,formal_id
q3_id_conv_005,indonesia,cooperative_customer,1,good,0.865,I want motorcycle financing. What should I prepare?,"Expected answer should ask vehicle and budget. Reason: Uses familiar Indonesian finance terms and asks practical next questions. Key terms: DP, tenor, cicilan.","Maaf ya, saya tidak mau asal jawab. Saya bisa bantu soal cicilan, tenor, denda, DP, jatuh tempo, angsuran, atau pembiayaan. Mau saya bantu lanjutkan?","Sorry, I do not want to answer carelessly. I can help with installments, tenor, penalties, down payment, due date, monthly payments, or financing. Do you want me to continue?","Mau kredit motor, kira-kira yang harus disiapkan apa ya?","Bisa. Untuk kredit motor biasanya yang dicek adalah DP, tenor, cicilan per bulan, data pekerjaan atau penghasilan, dan dokumen pendukung. Biar pas, motornya baru atau bekas, dan target cicilan per bulan kira-kira berapa?",localized_fallback,colloquial_id
q3_id_conv_005,indonesia,cooperative_customer,2,weak,0.45,"A new motorcycle, and I do not want the installment to be more than 1.5 million rupiah.","Expected answer should prepare simulation inputs. Reason: Balances affordability with total-cost warning. Key terms: harga motor, DP, total biaya.","Baik, cicilannya perlu dibayar sebelum jatuh tempo ya, supaya tidak kena denda. Mau saya bantu lanjutkan?","Okay, the installment needs to be paid before the due date so you do not get a penalty. Do you want me to continue helping?","Motor baru, cicilan jangan lebih dari 1,5 juta.","Oke, berarti kita jaga cicilan maksimal sekitar 1,5 juta per bulan. Biasanya pilihan tenor lebih panjang bisa menurunkan cicilan, tapi total biaya bisa lebih besar. Saya bisa bantu susun pertanyaan untuk simulasi resmi: harga motor, DP yang siap dibayar, dan tenor pilihan.",handle_installment_reminder,colloquial_id
q3_id_conv_005,indonesia,cooperative_customer,3,good,0.75,Is a small down payment possible?,"Expected answer should recommend scenario comparison. Reason: Does not overpromise and gives a clear next action. Key terms: profil kredit, program, skenario DP.","Untuk pengajuan, biasanya dicek DP, tenor, barang atau kendaraan yang mau dibiayai, dan dokumen identitas. Mau saya bantu lanjutkan?","For an application, the down payment, tenor, item or vehicle to be financed, and identity documents are usually checked. Do you want me to continue helping?",Kalau DP kecil bisa?,"Bisa saja ada opsi DP kecil, tapi tergantung program, profil kredit, dan kebijakan penyedia. DP kecil biasanya membuat cicilan atau total biaya lebih tinggi. Jadi sebaiknya kita bandingkan 2 sampai 3 skenario DP dulu sebelum memilih.",handle_finance_qualification,colloquial_id
q3_ph_conv_006,philippines,payment_or_renewal_difficulty,1,partial,0.74,"I will pay this week, please do not cancel it yet. I am just short on money right now.","Expected answer should explain payment consequence. Reason: Matches the user's desired style: empathy plus firm boundary. Key terms: premium, due date, grace period, lapse.","Pasensya na po, ayokong manghula. Pwede ko kayong i-connect sa advisor, o magtanong po kayo tungkol sa premium, policy, beneficiary, rider, lapse, o coverage. Gusto niyo po bang i-continue natin?","Sorry, I do not want to guess. I can connect you to an advisor, or you can ask about premium, policy, beneficiary, rider, lapse, or coverage. Would you like us to continue?","I will pay this week po, huwag muna i-cancel. Medyo short lang talaga ngayon.","I understand po, and thank you for telling us early. Hindi ko po ma-o-override ang policy rules, so kailangan pa rin ma-settle ang premium before the due date or within any allowed grace period. If unpaid beyond that, may risk po ng lapse or reduced benefits depending on the policy.",localized_fallback,taglish
q3_ph_conv_006,philippines,payment_or_renewal_difficulty,2,partial,0.615,But I am sure I will pay this Friday. Can you mark it as paid already?,"Expected answer should offer payment channel. Reason: Prevents false record update while still helping. Key terms: posted, official payment channels, receipt.","Pasensya na po, ayokong manghula. Pwede ko kayong i-connect sa advisor, o magtanong po kayo tungkol sa premium, policy, beneficiary, rider, lapse, o coverage. Gusto niyo po bang i-continue natin?","Sorry, I do not want to guess. I can connect you to an advisor, or you can ask about premium, policy, beneficiary, rider, lapse, or coverage. Would you like us to continue?",Pero sure naman ako this Friday. Can you mark it paid na?,"Hindi ko po siya pwedeng i-mark as paid until actual payment is received and posted. What I can do is note your intended payment date and guide you to official payment channels, para mabilis ma-post at may receipt kayo.",localized_fallback,taglish
q3_ph_conv_006,philippines,payment_or_renewal_difficulty,3,partial,0.698,What happens if I am late by two days?,"Expected answer should recommend servicing check. Reason: Answers consequence without inventing exact policy rules. Key terms: grace period, benefits, policy may lapse.","Pasensya na po, ayokong manghula. Pwede ko kayong i-connect sa advisor, o magtanong po kayo tungkol sa premium, policy, beneficiary, rider, lapse, o coverage. Gusto niyo po bang i-continue natin?","Sorry, I do not want to guess. I can connect you to an advisor, or you can ask about premium, policy, beneficiary, rider, lapse, or coverage. Would you like us to continue?",What happens if ma-late ako by two days?,"Possible po na covered pa rin kung pasok sa grace period, pero policy-specific iyon. If lagpas sa allowed period, benefits can be affected or the policy may lapse. Best action po is to pay before the posted deadline or let me connect you to servicing to check the exact grace-period rule.",localized_fallback,taglish
q3_ph_conv_007,philippines,payment_or_renewal_difficulty,1,good,0.917,Can I stop paying the premium for two months?,"Expected answer should explain policy specific options. Reason: Gives relevant options without claiming they apply. Key terms: premium, policy status, reinstatement.","Opo. Para manatiling active ang policy, kailangan mabayaran ang premium bago ang due date. Matutulungan ko po kayong i-check ang amount at payment option. Gusto niyo po bang magpatuloy?","Yes. To keep the policy active, the premium needs to be paid before the due date. I can help you check the amount and payment option. Would you like to continue?",Pwede ko bang ihinto muna ang bayad ng premium ng dalawang buwan?,"Naiintindihan ko po. Hindi ko po puwedeng i-approve agad ang paghinto ng premium dito, dahil depende iyon sa policy type at policy status. May ilang policy na may options tulad ng grace period, automatic premium loan, or reinstatement process, pero kailangan po itong i-check sa servicing team.",handle_renewal_or_premium,filipino
q3_ph_conv_007,philippines,payment_or_renewal_difficulty,2,weak,0.333,I do not want to lose the coverage because I have a child.,"Expected answer should escalate for options. Reason: Recognizes emotional context and guides to official support. Key terms: coverage, lapse risk, due date.","Sige po. Para malaman ang tamang coverage, ito po ba ay para sa sarili, family protection, o pagdagdag ng benepisyaryo o rider? Gusto niyo po bang magpatuloy?","Okay. To know the right coverage, is this for yourself, family protection, or adding a beneficiary or rider? Would you like to continue?",Ayoko sanang mawala ang coverage kasi may anak ako.,"Tama po na priority ninyo ang tuloy-tuloy na coverage. Para maiwasan ang lapse risk, mas mainam na ma-check agad kung may available option sa policy ninyo bago lumampas ang due date. Maaari ko po kayong i-route sa servicing or advisor para sa official options.",qualify_life_insurance_lead,filipino
q3_ph_conv_007,philippines,payment_or_renewal_difficulty,3,partial,0.698,"Okay, but first tell me whether there is a penalty.","Expected answer should avoid specific fee claim. Reason: Avoids false precision. Key terms: charges, reinstatement requirements, policy contract.","Pasensya na po, ayokong manghula. Pwede ko kayong i-connect sa advisor, o magtanong po kayo tungkol sa premium, policy, benepisyaryo, rider, lapse, o coverage. Gusto niyo po bang magpatuloy?","Sorry, I do not want to guess. I can connect you to an advisor, or you can ask about premium, policy, beneficiary, rider, lapse, or coverage. Would you like to continue?","Sige, pero sabihin mo muna kung may penalty ba.","Maaaring may epekto sa benefits, charges, or reinstatement requirements, pero hindi po pare-pareho. Ayokong magbigay ng maling amount. Ang safe answer po: check muna ang policy contract or servicing record bago sabihin kung may charge or requirement.",localized_fallback,filipino
q3_ph_conv_008,philippines,payment_or_renewal_difficulty,1,weak,0.25,Can I pay to the agent's personal GCash account so it is faster?,"Expected answer should reject unofficial payment. Reason: Strongly protects the customer from fraud. Key terms: official payment channels, receipt, OTP.","Opo, i-connect ko po kayo sa licensed advisor para maayos na masagot ang policy at coverage questions ninyo.","Yes, I will connect you to a licensed advisor so your policy and coverage questions can be answered properly.",Pwede ba ako magbayad sa personal GCash ng agent para mabilis?,"For your safety po, huwag po kayong magbayad sa personal account. Premium payments should go through official payment channels only, with official receipt or confirmation. Hindi rin po dapat hingin ang OTP or password ninyo.",escalate_to_human,taglish
q3_ph_conv_008,philippines,payment_or_renewal_difficulty,2,partial,0.615,The agent said they will post the payment for me.,"Expected answer should explain traceability. Reason: Explains why the safe route matters. Key terms: posting, official reference number.","Pasensya na po, ayokong manghula. Pwede ko kayong i-connect sa advisor, o magtanong po kayo tungkol sa premium, policy, beneficiary, rider, lapse, o coverage. Gusto niyo po bang i-continue natin?","Sorry, I do not want to guess. I can connect you to an advisor, or you can ask about premium, policy, beneficiary, rider, lapse, or coverage. Would you like us to continue?",Sabi niya kasi siya na magpo-post.,"Gets ko po, pero kahit ganoon, safest pa rin ang direct official channel. If may issue sa posting, mas madali po ma-trace kapag official reference number ang ginamit. I can guide you on what payment details to verify before paying.",localized_fallback,taglish
q3_ph_conv_008,philippines,payment_or_renewal_difficulty,3,partial,0.698,What should I check before paying?,"Expected answer should give safety checklist. Reason: Gives actionable fraud-prevention guidance. Key terms: policy number, due date, confirmation receipt.","Pasensya na po, ayokong manghula. Pwede ko kayong i-connect sa advisor, o magtanong po kayo tungkol sa premium, policy, beneficiary, rider, lapse, o coverage. Gusto niyo po bang i-continue natin?","Sorry, I do not want to guess. I can connect you to an advisor, or you can ask about premium, policy, beneficiary, rider, lapse, or coverage. Would you like us to continue?",Ano dapat kong i-check bago magbayad?,"Check po ang policy number through the official portal or statement, payment amount, due date, payment channel name, and confirmation receipt. Do not share OTP, card PIN, or full password. If unsure, pause payment and contact official support.",localized_fallback,taglish
q3_id_conv_009,indonesia,payment_or_renewal_difficulty,1,good,1.0,I will pay this week. Please do not count it as late yet.,"Expected answer should explain late payment consequence. Reason: Empathy plus firm contractual boundary. Key terms: jatuh tempo, denda, kanal pembayaran resmi.","Jika pembayaran melewati jatuh tempo, denda dapat berlaku sesuai ketentuan pembiayaan. Saya bisa bantu cek kanal pembayaran agar tidak terlambat. Apakah Bapak/Ibu ingin saya lanjutkan?","If payment goes past the due date, a penalty may apply according to the financing terms. I can help check the payment channel so it is not late. Would you like me to continue?","Saya bayar minggu ini, tolong jangan dianggap telat dulu ya.","Saya paham situasinya, Bapak/Ibu. Namun status pembayaran tetap mengikuti tanggal jatuh tempo dan pembayaran yang sudah diterima sistem. Jika melewati jatuh tempo, denda atau pencatatan keterlambatan dapat berlaku sesuai perjanjian. Saya bisa bantu catat rencana bayar dan arahkan ke kanal pembayaran resmi.",explain_penalty_or_due_date,formal_id
q3_id_conv_009,indonesia,payment_or_renewal_difficulty,2,good,0.833,"If I pay on Friday, can the penalty be removed?","Expected answer should avoid waiver promise. Reason: Avoids unauthorized fee waiver. Key terms: penghapusan denda, keringanan, akun.",Baik Bapak/Ibu. Cicilan atau angsuran perlu dibayarkan sebelum tanggal jatuh tempo agar tidak muncul denda keterlambatan. Apakah Bapak/Ibu ingin saya lanjutkan?,"Okay, Sir/Ma'am. The installment or monthly payment should be paid before the due date so a late-payment penalty does not appear. Would you like me to continue?","Kalau saya bayar Jumat, bisa tidak dendanya dihapus?","Saya tidak bisa menjanjikan penghapusan denda dari chat ini. Jika ada program keringanan, itu harus dicek oleh tim resmi berdasarkan akun dan kebijakan yang berlaku. Yang paling aman adalah membayar secepat mungkin melalui kanal resmi agar keterlambatan tidak bertambah.",handle_installment_reminder,formal_id
q3_id_conv_009,indonesia,payment_or_renewal_difficulty,3,good,0.833,"Okay, send me safe payment options.","Expected answer should provide safe payment options. Reason: Helps the customer pay safely. Key terms: virtual account, bukti bayar, rekening pribadi.",Baik Bapak/Ibu. Cicilan atau angsuran perlu dibayarkan sebelum tanggal jatuh tempo agar tidak muncul denda keterlambatan. Apakah Bapak/Ibu ingin saya lanjutkan?,"Okay, Sir/Ma'am. The installment or monthly payment should be paid before the due date so a late-payment penalty does not appear. Would you like me to continue?","Baik, kirimkan opsi bayar yang aman.","Baik. Gunakan kanal resmi seperti aplikasi penyedia, virtual account, bank partner, atau gerai pembayaran resmi yang tercantum di kontrak atau aplikasi. Simpan bukti bayar dan jangan transfer ke rekening pribadi siapa pun.",handle_installment_reminder,formal_id
q3_id_conv_010,indonesia,payment_or_renewal_difficulty,1,good,0.833,My salary is delayed. Can the installment be moved by a few days?,"Expected answer should state due date rule. Reason: Keeps tone human while not changing policy. Key terms: cicilan, kontrak, denda.","Kalau lewat jatuh tempo, biasanya bisa kena denda sesuai aturan pembiayaan. Saya bisa bantu arahkan cara bayarnya. Mau saya bantu lanjutkan?","If payment goes past the due date, there can usually be a penalty according to the financing rules. I can help guide you on how to pay. Do you want me to continue helping?",Gaji saya telat masuk. Cicilan bisa mundur beberapa hari tidak?,"Saya paham, kondisi gaji telat memang bisa bikin berat. Tapi jatuh tempo cicilan tetap mengikuti kontrak. Kalau lewat tanggal jatuh tempo, bisa ada denda atau status telat sesuai ketentuan. Saya bisa bantu arahkan opsi pembayaran atau permintaan bantuan ke tim resmi.",explain_penalty_or_due_date,colloquial_id
q3_id_conv_010,indonesia,payment_or_renewal_difficulty,2,good,0.833,It is not that I do not want to pay. I am just waiting for payroll.,"Expected answer should suggest official note. Reason: Acknowledges intent without treating promise as payment. Key terms: niat bayar, sistem, catatan komunikasi resmi.","Baik, cicilannya perlu dibayar sebelum jatuh tempo ya, supaya tidak kena denda. Mau saya bantu lanjutkan?","Okay, the installment needs to be paid before the due date so you do not get a penalty. Do you want me to continue helping?","Saya bukan tidak mau bayar, cuma tunggu payroll.","Saya mengerti, dan niat bayar Bapak/Ibu tetap saya catat sebagai konteks. Namun sistem biasanya membaca pembayaran setelah dana benar-benar diterima. Jika ada potensi telat, lebih baik hubungi tim layanan agar ada catatan komunikasi resmi.",handle_installment_reminder,colloquial_id
q3_id_conv_010,indonesia,payment_or_renewal_difficulty,3,partial,0.55,"If I cannot pay the full amount yet, can I make a partial payment?","Expected answer should explain partial payment limits. Reason: Explains nuanced consequence. Key terms: outstanding, restrukturisasi, penjadwalan ulang.","Saya paham. Kalau lagi belum bisa bayar, saya bisa bantu catat kendalanya dan ajukan callback untuk opsi bantuan. Mau saya bantu lanjutkan?","I understand. If you currently cannot pay, I can record the difficulty and request a callback for support options. Do you want me to continue helping?","Kalau belum bisa bayar full, bisa bayar sebagian?","Pembayaran sebagian bisa membantu mengurangi outstanding, tapi belum tentu menghentikan status keterlambatan atau denda. Itu tergantung aturan produk. Saya sarankan cek opsi resmi seperti restrukturisasi, penjadwalan ulang, atau instruksi pembayaran dari layanan pelanggan.",offer_payment_support,colloquial_id
q3_ph_conv_011,philippines,sector_specific_objection,1,partial,0.615,I am an overseas Filipino worker in the Middle East. Am I still covered if I get life insurance?,"Expected answer should ask occupation risk. Reason: Uses sector-specific qualification rather than generic sales answer. Key terms: OFW, underwriting, occupation.","Pasensya na po, ayokong manghula. Pwede ko kayong i-connect sa advisor, o magtanong po kayo tungkol sa premium, policy, beneficiary, rider, lapse, o coverage. Gusto niyo po bang i-continue natin?","Sorry, I do not want to guess. I can connect you to an advisor, or you can ask about premium, policy, beneficiary, rider, lapse, or coverage. Would you like us to continue?",OFW ako sa Middle East. Covered pa ba ako kung kumuha ng life insurance?,"Yes po, many OFWs can be considered, pero depende sa country, occupation, residency status, and insurer underwriting rules. Hindi ko po pwedeng i-guarantee coverage agad. Anong type of work po kayo doon, office-based, skilled, seafarer, or high-risk site work?",localized_fallback,taglish
q3_ph_conv_011,philippines,sector_specific_objection,2,partial,0.615,"I am a construction supervisor, mostly doing site visits.","Expected answer should ask risk and health. Reason: Adds underwriting nuance. Key terms: site exposure, rated, hazardous duties.","Pasensya na po, ayokong manghula. Pwede ko kayong i-connect sa advisor, o magtanong po kayo tungkol sa premium, policy, beneficiary, rider, lapse, o coverage. Gusto niyo po bang i-continue natin?","Sorry, I do not want to guess. I can connect you to an advisor, or you can ask about premium, policy, beneficiary, rider, lapse, or coverage. Would you like us to continue?","Construction supervisor ako, mostly site visits.","Noted po. Since may site exposure, kailangan ma-check kung standard, rated, or may extra requirements ang case. This does not mean declined agad, but it needs proper review. May existing medical condition po ba or hazardous duties like working at heights?",localized_fallback,taglish
q3_ph_conv_011,philippines,sector_specific_objection,3,partial,0.615,"I do not have any illness, but sometimes I work at heights.","Expected answer should prepare escalation summary. Reason: Escalates because risk classification is product-specific. Key terms: underwriting pre-check, height exposure, requirements.","Pasensya na po, ayokong manghula. Pwede ko kayong i-connect sa advisor, o magtanong po kayo tungkol sa premium, policy, beneficiary, rider, lapse, o coverage. Gusto niyo po bang i-continue natin?","Sorry, I do not want to guess. I can connect you to an advisor, or you can ask about premium, policy, beneficiary, rider, lapse, or coverage. Would you like us to continue?","Wala namang sakit, pero may work at heights minsan.","Thank you po. Since may occasional work at heights, best next step is licensed advisor or underwriting pre-check. I can summarize your profile as OFW construction supervisor with occasional height exposure and no declared medical condition, so the advisor can guide the correct requirements.",localized_fallback,taglish
q3_ph_conv_012,philippines,sector_specific_objection,1,partial,0.615,I need to keep money circulating in my business more than I need insurance.,"Expected answer should reframe to continuity. Reason: Localizes objection handling to entrepreneur context. Key terms: cash flow, business continuity, family income.","Pasensya na po, ayokong manghula. Pwede ko kayong i-connect sa advisor, o magtanong po kayo tungkol sa premium, policy, beneficiary, rider, lapse, o coverage. Gusto niyo po bang i-continue natin?","Sorry, I do not want to guess. I can connect you to an advisor, or you can ask about premium, policy, beneficiary, rider, lapse, or coverage. Would you like us to continue?",Mas kailangan ko pang paikutin ang pera sa business kaysa insurance.,"Valid po iyon, especially kung cash flow ang priority. The reason some business owners still consider life insurance is business continuity: if something happens to the owner, may protection for family or business obligations. Hindi ko po kayo pipilitin. Tanong ko lang, dependent ba ang family income mostly sa business ninyo?",localized_fallback,taglish
